RULES,,,,
,,,,
BARREL,,,,
,,,,
TEMPLATE ID ,LAYER,LADDER,MODULE,
1010,1,1-12,1-8,
1011,2,1-28,1-4,
1011,2,1-28,5-8,
1012,3,1-44,1-4,
1013,3,1-44,5-8,
1014,4,1-64,1-4,
1015,4,1-64,5-8,
,,,,
ENDCAP,,,,
,,,,
TEMPLATE ID ,DISK,BLADE,SIDE,PANEL
1016,1-3,23-56,1-2,1
1017,1-3,1-22,1-2,1
1018,1-3,1-22,1-2,2
1019,1-3,23-56,1-2,2
,,,,
EXCEPTIONS,,,,
,,,,
BARREL,,,,
,,,,
TEMPLATE ID ,LAYER,LADDER,MODULE,
1009,2,24,4,
1009,2,22,4,
1009,2,12,4,
1009,2,12,3,
1009,2,12,2,
1009,2,8,5,
1009,2,8,6,
1009,2,8,7,
,,,,
ENDCAP,,,,
,,,,
TEMPLATE ID ,DISK,BLADE,SIDE,PANEL
